Restaurant ID,Restaurant Name,Country Code,City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating text,Votes,Cuisine
6317637,Le Petit Souffle,162,Makati City,"French, Japanese, Desserts",1100.0,Botswana Pula(P),Yes,No,3,4.8,Excellent,314,French
6317637,Le Petit Souffle,162,Makati City,"French, Japanese, Desserts",1100.0,Botswana Pula(P),Yes,No,3,4.8,Excellent,314,Japanese
6317637,Le Petit Souffle,162,Makati City,"French, Japanese, Desserts",1100.0,Botswana Pula(P),Yes,No,3,4.8,Excellent,314,Desserts
6304287,Izakaya Kikufuji,162,Makati City,Japanese,1200.0,Botswana Pula(P),Yes,No,3,4.5,Excellent,591,Japanese
6300002,Heat Edsa ShangriLa,162,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4000.0,Botswana Pula(P),Yes,No,4,4.4,Very Good,270,Seafood
6300002,Heat Edsa ShangriLa,162,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4000.0,Botswana Pula(P),Yes,No,4,4.4,Very Good,270,Asian
6300002,Heat Edsa ShangriLa,162,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4000.0,Botswana Pula(P),Yes,No,4,4.4,Very Good,270,Filipino
6300002,Heat Edsa ShangriLa,162,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4000.0,Botswana Pula(P),Yes,No,4,4.4,Very Good,270,Indian
6318506,Ooma,162,Mandaluyong City,"Japanese, Sushi",1500.0,Botswana Pula(P),No,No,4,4.9,Excellent,365,Japanese
6318506,Ooma,162,Mandaluyong City,"Japanese, Sushi",1500.0,Botswana Pula(P),No,No,4,4.9,Excellent,365,Sushi
6314302,Sambo Kojin,162,Mandaluyong City,"Japanese, Korean",1500.0,Botswana Pula(P),Yes,No,4,4.8,Excellent,229,Japanese
6314302,Sambo Kojin,162,Mandaluyong City,"Japanese, Korean",1500.0,Botswana Pula(P),Yes,No,4,4.8,Excellent,229,Korean
18189371,Din Tai Fung,162,Mandaluyong City,Chinese,1000.0,Botswana Pula(P),No,No,3,4.4,Very Good,336,Chinese
6300781,Buffet 101,162,Pasay City,"Asian, European",2000.0,Botswana Pula(P),Yes,No,4,4.0,Very Good,520,Asian
6300781,Buffet 101,162,Pasay City,"Asian, European",2000.0,Botswana Pula(P),Yes,No,4,4.0,Very Good,520,European
6301290,Vikings,162,Pasay City,"Seafood, Filipino, Asian, European",2000.0,Botswana Pula(P),Yes,No,4,4.2,Very Good,677,Seafood
6301290,Vikings,162,Pasay City,"Seafood, Filipino, Asian, European",2000.0,Botswana Pula(P),Yes,No,4,4.2,Very Good,677,Filipino
6301290,Vikings,162,Pasay City,"Seafood, Filipino, Asian, European",2000.0,Botswana Pula(P),Yes,No,4,4.2,Very Good,677,Asian
6301290,Vikings,162,Pasay City,"Seafood, Filipino, Asian, European",2000.0,Botswana Pula(P),Yes,No,4,4.2,Very Good,677,European
6300010,Spiral Sofitel Philippine Plaza Manila,162,Pasay City,"European, Asian, Indian",6000.0,Botswana Pula(P),Yes,No,4,4.9,Excellent,621,European
6300010,Spiral Sofitel Philippine Plaza Manila,162,Pasay City,"European, Asian, Indian",6000.0,Botswana Pula(P),Yes,No,4,4.9,Excellent,621,Asian
6300010,Spiral Sofitel Philippine Plaza Manila,162,Pasay City,"European, Asian, Indian",6000.0,Botswana Pula(P),Yes,No,4,4.9,Excellent,621,Indian
6314987,Locavore,162,Pasig City,Filipino,1100.0,Botswana Pula(P),Yes,No,3,4.8,Excellent,532,Filipino
6309903,Silantro FilMex,162,Pasig City,"Filipino, Mexican",800.0,Botswana Pula(P),No,No,3,4.9,Excellent,1070,Filipino
6309903,Silantro FilMex,162,Pasig City,"Filipino, Mexican",800.0,Botswana Pula(P),No,No,3,4.9,Excellent,1070,Mexican
6309455,Mad Marks Creamery Good Eats,162,Pasig City,"American, Ice Cream, Desserts",900.0,Botswana Pula(P),Yes,No,3,4.2,Very Good,488,American
6309455,Mad Marks Creamery Good Eats,162,Pasig City,"American, Ice Cream, Desserts",900.0,Botswana Pula(P),Yes,No,3,4.2,Very Good,488,Ice Cream
6309455,Mad Marks Creamery Good Eats,162,Pasig City,"American, Ice Cream, Desserts",900.0,Botswana Pula(P),Yes,No,3,4.2,Very Good,488,Desserts
6318433,Silantro FilMex,162,Quezon City,"Filipino, Mexican",800.0,Botswana Pula(P),No,No,3,4.8,Excellent,294,Filipino
6318433,Silantro FilMex,162,Quezon City,"Filipino, Mexican",800.0,Botswana Pula(P),No,No,3,4.8,Excellent,294,Mexican
6310470,Guevarras,162,San Juan City,Filipino,1000.0,Botswana Pula(P),Yes,No,3,4.2,Very Good,458,Filipino
6314605,Sodam Korean Restaurant,162,San Juan City,Korean,700.0,Botswana Pula(P),No,No,3,4.3,Very Good,223,Korean
18185059,Cafe Arabelle,162,Santa Rosa,"Cafe, American, Italian, Filipino",800.0,Botswana Pula(P),No,No,3,3.6,Good,29,Cafe
18185059,Cafe Arabelle,162,Santa Rosa,"Cafe, American, Italian, Filipino",800.0,Botswana Pula(P),No,No,3,3.6,Good,29,American
18185059,Cafe Arabelle,162,Santa Rosa,"Cafe, American, Italian, Filipino",800.0,Botswana Pula(P),No,No,3,3.6,Good,29,Italian
18185059,Cafe Arabelle,162,Santa Rosa,"Cafe, American, Italian, Filipino",800.0,Botswana Pula(P),No,No,3,3.6,Good,29,Filipino
18182702,Nonnas Pasta Pizzeria,162,Santa Rosa,"Italian, Pizza",850.0,Botswana Pula(P),No,No,3,4.0,Very Good,72,Italian
18182702,Nonnas Pasta Pizzeria,162,Santa Rosa,"Italian, Pizza",850.0,Botswana Pula(P),No,No,3,4.0,Very Good,72,Pizza
6318213,Balay Dako,162,Tagaytay City,Filipino,1200.0,Botswana Pula(P),Yes,No,3,4.5,Excellent,211,Filipino
18255654,Hobing Korean Dessert Cafe,162,Taguig City,"Cafe, Korean, Desserts",600.0,Botswana Pula(P),No,No,2,4.5,Excellent,118,Cafe
18255654,Hobing Korean Dessert Cafe,162,Taguig City,"Cafe, Korean, Desserts",600.0,Botswana Pula(P),No,No,2,4.5,Excellent,118,Korean
18255654,Hobing Korean Dessert Cafe,162,Taguig City,"Cafe, Korean, Desserts",600.0,Botswana Pula(P),No,No,2,4.5,Excellent,118,Desserts
6308205,Wildflour Cafe Bakery,162,Taguig City,"Cafe, Bakery, American, Italian",1500.0,Botswana Pula(P),Yes,No,4,4.4,Very Good,392,Cafe
6308205,Wildflour Cafe Bakery,162,Taguig City,"Cafe, Bakery, American, Italian",1500.0,Botswana Pula(P),Yes,No,4,4.4,Very Good,392,Bakery
6308205,Wildflour Cafe Bakery,162,Taguig City,"Cafe, Bakery, American, Italian",1500.0,Botswana Pula(P),Yes,No,4,4.4,Very Good,392,American
6308205,Wildflour Cafe Bakery,162,Taguig City,"Cafe, Bakery, American, Italian",1500.0,Botswana Pula(P),Yes,No,4,4.4,Very Good,392,Italian
